STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,POINT_LOC,HYD_GRADIENT,HYDRAULIC_CONDUCTIVITY,CROSS_SLOPE,GRADE,SS_INFILTRATION,DRAINAGE_LOCATION,DRAINAGE_LOCATION_EXP,DRAINAGE_TYPE_EXP,DRAINAGE_TYPE,DRAINPIPE_DIAMETER,LATERALS_SPACING,DATE_COMPLETE,DRAINAGE_PIPE_TYPE,DRAINAGE_PIPE_TYPE_EXP,FILTER_PERMEABILITY,FILTER_TYPE,FILTER_TYPE_EXP,HORIZ_PIPE_PLACEMENT,MAX_PARTICLE_SIZE,PIPE_DEPTH,PIPE_DIAMETER,SUBDRAIN_PURPOSE,SUBDRAIN_PURPOSE_EXP
4,Arizona,1001,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1002,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1003,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1006,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1007,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1015,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1016,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1017,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1018,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1021,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1022,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1024,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1025,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1034,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1036,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1037,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1062,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,1065,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,6053,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,6054,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,6055,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
4,Arizona,6060,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
13,Georgia,1001,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
13,Georgia,1004,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
13,Georgia,1005,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
13,Georgia,1031,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
13,Georgia,4092,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
13,Georgia,4093,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
13,Georgia,4096,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
13,Georgia,4111,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
13,Georgia,4112,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
13,Georgia,4113,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
13,Georgia,4119,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
13,Georgia,4420,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
39,Ohio,0104,,,,,,,,3,None,No subsurface drainage,1,,,,,,,,,,,,,,
39,Ohio,0111,1,-0.6,0.27,,1.2000000476837158,0.20000000298023224,30.28,1,Continuous,Drainage blanket with longitudinal drains,6,101.6,,,,,,,,,,,,,
39,Ohio,0112,1,156.6,0.24,,1.399999976158142,0,30.28,1,Continuous,Drainage blanket with longitudinal drains,6,101.6,,,,,,,,,,,,,
39,Ohio,0159,,,,,,,,3,None,No subsurface drainage,1,,,,,,,,,,,,,,
39,Ohio,0160,,,,,,,,1,Continuous,Drainage blanket with longitudinal drains,6,101.6,,,,,,,,,,,,,
39,Ohio,0901,,,,,,,,1,Continuous,Drainage blanket with longitudinal drains,6,101.6,,,,,,,,,,,,,
39,Ohio,0903,,,,,,,,1,Continuous,Drainage blanket with longitudinal drains,6,101.6,,,,,,,,,,,,,
87,Ontario,0903,,,,,,,,3,None,No subsurface drainage,1,,,,,,,,,,,,,,
87,Ontario,0960,,,,,,,,3,None,No subsurface drainage,1,,,,,,,,,,,,,,
87,Ontario,0961,,,,,,,,3,None,No subsurface drainage,1,,,,,,,,,,,,,,
87,Ontario,1620,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
87,Ontario,1622,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
87,Ontario,1680,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,
87,Ontario,1806,,,,,,,,,,No subsurface drainage,1,,,,,,,,,,,,,,