STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,CN_ASSIGN_DATE,CN_CHANGE_REASON,CN_CHANGE_REASON_EXP,RECORD_STATUS,GPS_SPS,GPS_SPS_EXP,EXPERIMENT_NO,EXPERIMENT_NO_EXP,STATUS_EXP,STATUS,ASSIGN_DATE,DEASSIGN_DATE,SEAS_ID,SUPPLEMENTAL,EXP_SECT_RS,BASIC_INFO_RS,PAV_STRUCT_RS,TRAFFIC_RS,CLIMATIC_RS,PAVEMENT_FAMILY,PAVEMENT_FAMILY_EXP
4,Arizona,1003,4,Thu Sep 30 1993 20:00:00 GMT-0400 (Eastern Daylight Time),"51,19","Asphalt Concrete Overlay, Mill Off AC and Overlay with AC ",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Thu Sep 30 1993 20:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 31 2023 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,5,Mon Dec 31 2012 19:00:00 GMT-0500 (Eastern Standard Time),25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Thu Sep 30 1993 20:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 31 2023 20:00:00 GMT-0400 (Eastern Daylight Time),,,A,A,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,6,Sat Feb 28 2015 19:00:00 GMT-0500 (Eastern Standard Time),1,Crack Sealing,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Thu Sep 30 1993 20:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 31 2023 20:00:00 GMT-0400 (Eastern Daylight Time),,,A,A,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1006,4,Thu Sep 30 1993 20:00:00 GMT-0400 (Eastern Daylight Time),"55,19","Asphalt Concrete Overlay, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Thu Sep 30 1993 20:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 31 2023 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1006,5,Mon Dec 31 2012 19:00:00 GMT-0500 (Eastern Standard Time),25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Thu Sep 30 1993 20:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 31 2023 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1006,6,Sat Feb 28 2015 19:00:00 GMT-0500 (Eastern Standard Time),1,Crack Sealing,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Thu Sep 30 1993 20:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 31 2023 20:00:00 GMT-0400 (Eastern Daylight Time),,,A,A,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1006,7,Sun May 31 2020 20:00:00 GMT-0400 (Eastern Daylight Time),25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Thu Sep 30 1993 20:00:00 GMT-0400 (Eastern Daylight Time),Mon Jul 31 2023 20:00:00 GMT-0400 (Eastern Daylight Time),,,A,A,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1015,2,Tue Dec 31 1996 19:00:00 GMT-0500 (Eastern Standard Time),"51,19","Asphalt Concrete Overlay, Mill Off AC and Overlay with AC ",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Tue Dec 31 1996 19:00:00 GMT-0500 (Eastern Standard Time),Tue Jun 14 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1017,3,Sun May 11 1997 20:00:00 GMT-0400 (Eastern Daylight Time),51,Mill Off AC and Overlay with AC ,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Sun May 11 1997 20:00:00 GMT-0400 (Eastern Daylight Time),Wed Feb 13 2019 19:00:00 GMT-0500 (Eastern Standard Time),O,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1017,4,Thu May 31 2012 20:00:00 GMT-0400 (Eastern Daylight Time),1,Crack Sealing,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Sun May 11 1997 20:00:00 GMT-0400 (Eastern Daylight Time),Wed Feb 13 2019 19:00:00 GMT-0500 (Eastern Standard Time),O,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1018,4,Sun Nov 30 1997 19:00:00 GMT-0500 (Eastern Standard Time),"51,19","Asphalt Concrete Overlay, Mill Off AC and Overlay with AC ",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Sun Nov 30 1997 19:00:00 GMT-0500 (Eastern Standard Time),Wed Feb 13 2019 19:00:00 GMT-0500 (Eastern Standard Time),O,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1018,5,Thu May 31 2012 20:00:00 GMT-0400 (Eastern Daylight Time),1,Crack Sealing,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Sun Nov 30 1997 19:00:00 GMT-0500 (Eastern Standard Time),Wed Feb 13 2019 19:00:00 GMT-0500 (Eastern Standard Time),O,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1021,5,Tue Dec 31 1996 19:00:00 GMT-0500 (Eastern Standard Time),51,Mill Off AC and Overlay with AC ,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Tue Dec 31 1996 19:00:00 GMT-0500 (Eastern Standard Time),Tue May 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1021,6,Tue Jan 01 2008 19:00:00 GMT-0500 (Eastern Standard Time),"28,33","Surface Treatment, Single Layer, Slurry Seal Coat",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Tue Dec 31 1996 19:00:00 GMT-0500 (Eastern Standard Time),Tue May 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,A,A,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1022,3,Tue Jan 09 1996 19:00:00 GMT-0500 (Eastern Standard Time),51,Mill Off AC and Overlay with AC ,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Tue Jan 09 1996 19:00:00 GMT-0500 (Eastern Standard Time),Tue May 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1022,4,Tue Oct 06 2015 20:00:00 GMT-0400 (Eastern Daylight Time),51,Mill Off AC and Overlay with AC ,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Tue Jan 09 1996 19:00:00 GMT-0500 (Eastern Standard Time),Tue May 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,A,A,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1025,5,Mon May 31 1999 20:00:00 GMT-0400 (Eastern Daylight Time),51,Mill Off AC and Overlay with AC ,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Mon May 31 1999 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Apr 30 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1025,6,Tue May 31 2011 20:00:00 GMT-0400 (Eastern Daylight Time),26,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Mon May 31 1999 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Apr 30 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1025,7,Tue May 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Mon May 31 1999 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Apr 30 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,,A,A,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1062,1,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Oct 06 2015 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
4,Arizona,1062,2,Sat Dec 31 1988 19:00:00 GMT-0500 (Eastern Standard Time),25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Oct 06 2015 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
4,Arizona,1062,3,Mon Dec 31 1990 19:00:00 GMT-0500 (Eastern Standard Time),25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Oct 06 2015 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
4,Arizona,1062,4,Wed Sep 30 1992 20:00:00 GMT-0400 (Eastern Daylight Time),"12,19","Grinding Surface, Asphalt Concrete Overlay",E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Oct 06 2015 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
4,Arizona,1062,5,Tue Aug 31 1999 20:00:00 GMT-0400 (Eastern Daylight Time),"12,19","Grinding Surface, Asphalt Concrete Overlay",E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Oct 06 2015 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
4,Arizona,1062,6,Thu May 31 2012 20:00:00 GMT-0400 (Eastern Daylight Time),1,Crack Sealing,E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Oct 06 2015 20:00:00 GMT-0400 (Eastern Daylight Time),,,A,A,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
4,Arizona,1062,7,Tue Oct 06 2015 20:00:00 GMT-0400 (Eastern Daylight Time),51,Mill Off AC and Overlay with AC ,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Tue Oct 06 2015 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Apr 30 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,,A,A,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
4,Arizona,1065,1,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Dec 31 2019 19:00:00 GMT-0500 (Eastern Standard Time),,,E,E,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
4,Arizona,1065,2,Sat Dec 31 1988 19:00:00 GMT-0500 (Eastern Standard Time),25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Dec 31 2019 19:00:00 GMT-0500 (Eastern Standard Time),,,E,E,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
4,Arizona,1065,3,Sun Dec 31 1989 19:00:00 GMT-0500 (Eastern Standard Time),25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Dec 31 2019 19:00:00 GMT-0500 (Eastern Standard Time),,,E,E,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
4,Arizona,1065,4,Mon Dec 31 1990 19:00:00 GMT-0500 (Eastern Standard Time),25,"Patch Pot Holes - Hand Spread, Compacted with Truck",E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Dec 31 2019 19:00:00 GMT-0500 (Eastern Standard Time),,,E,E,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
4,Arizona,1065,5,Wed Sep 30 1992 20:00:00 GMT-0400 (Eastern Daylight Time),"12,19","Grinding Surface, Asphalt Concrete Overlay",E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Dec 31 2019 19:00:00 GMT-0500 (Eastern Standard Time),,,E,E,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
4,Arizona,1065,6,Tue Aug 31 1999 20:00:00 GMT-0400 (Eastern Daylight Time),"12,19","Grinding Surface, Asphalt Concrete Overlay",E,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,Wed Jun 15 1988 20:00:00 GMT-0400 (Eastern Daylight Time),Tue Dec 31 2019 19:00:00 GMT-0500 (Eastern Standard Time),,,E,E,E,E,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
39,Ohio,0104,2,Thu May 31 2012 20:00:00 GMT-0400 (Eastern Daylight Time),"10,55","AC Shoulder Restoration, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Thu May 31 2012 20:00:00 GMT-0400 (Eastern Daylight Time),Sun May 14 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,,E,ACTB,Asphalt concrete over cement/lime treated base/subgrade
39,Ohio,0111,2,Tue May 29 2007 20:00:00 GMT-0400 (Eastern Daylight Time),43,Hot-Mix Recycled Asphalt Concrete Overlay,E,G,General Pavement Studies,6C,"AC Overlay with Modified Asphalt Cement on AC Pavement, No Milling",Out-of-study,O,Tue May 29 2007 20:00:00 GMT-0400 (Eastern Daylight Time),Sun May 14 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
39,Ohio,0111,3,Thu May 31 2012 20:00:00 GMT-0400 (Eastern Daylight Time),1,Crack Sealing,E,G,General Pavement Studies,6C,"AC Overlay with Modified Asphalt Cement on AC Pavement, No Milling",Out-of-study,O,Tue May 29 2007 20:00:00 GMT-0400 (Eastern Daylight Time),Sun May 14 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
39,Ohio,0112,2,Thu May 31 2012 20:00:00 GMT-0400 (Eastern Daylight Time),"10,55","AC Shoulder Restoration, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Thu May 31 2012 20:00:00 GMT-0400 (Eastern Daylight Time),Sun May 14 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
39,Ohio,0159,6,Mon Aug 09 2010 20:00:00 GMT-0400 (Eastern Daylight Time),55,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Mon Aug 09 2010 20:00:00 GMT-0400 (Eastern Daylight Time),Sun May 14 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,S,E,E,E,,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
39,Ohio,0159,7,Tue Jun 05 2012 20:00:00 GMT-0400 (Eastern Daylight Time),1,Crack Sealing,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Mon Aug 09 2010 20:00:00 GMT-0400 (Eastern Daylight Time),Sun May 14 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,S,E,E,E,,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
39,Ohio,0160,2,Thu Sep 09 2010 20:00:00 GMT-0400 (Eastern Daylight Time),55,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Thu Sep 09 2010 20:00:00 GMT-0400 (Eastern Daylight Time),Sun May 14 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,S,E,E,E,,E,ACTB,Asphalt concrete over cement/lime treated base/subgrade
39,Ohio,0160,3,Thu May 31 2012 20:00:00 GMT-0400 (Eastern Daylight Time),1,Crack Sealing,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Thu Sep 09 2010 20:00:00 GMT-0400 (Eastern Daylight Time),Sun May 14 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,S,E,E,E,,E,ACTB,Asphalt concrete over cement/lime treated base/subgrade
39,Ohio,0901,2,Thu Mar 31 2011 20:00:00 GMT-0400 (Eastern Daylight Time),51,Mill Off AC and Overlay with AC ,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Thu Mar 31 2011 20:00:00 GMT-0400 (Eastern Daylight Time),Sun May 14 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
39,Ohio,0901,3,Thu May 31 2012 20:00:00 GMT-0400 (Eastern Daylight Time),"10,55","AC Shoulder Restoration, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Thu Mar 31 2011 20:00:00 GMT-0400 (Eastern Daylight Time),Sun May 14 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
39,Ohio,0903,2,Thu May 31 2012 20:00:00 GMT-0400 (Eastern Daylight Time),"10,55","AC Shoulder Restoration, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Thu May 31 2012 20:00:00 GMT-0400 (Eastern Daylight Time),Sun May 14 2017 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,,E,ACATB,Asphalt concrete over asphalt treated base/subgrade
87,Ontario,0903,2,Sun Oct 06 2013 20:00:00 GMT-0400 (Eastern Daylight Time),"10,51","AC Shoulder Restoration, Mill Off AC and Overlay with AC ",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Sun Oct 06 2013 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Jul 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,,E,ACUB,Asphalt concrete over unbound base/subgrade
87,Ontario,0960,3,Sun Oct 06 2013 20:00:00 GMT-0400 (Eastern Daylight Time),"10,51","AC Shoulder Restoration, Mill Off AC and Overlay with AC ",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Sun Oct 06 2013 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Jul 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,S,A,A,E,,E,ACUB,Asphalt concrete over unbound base/subgrade
87,Ontario,0961,2,Sun Oct 06 2013 20:00:00 GMT-0400 (Eastern Daylight Time),"10,51","AC Shoulder Restoration, Mill Off AC and Overlay with AC ",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Sun Oct 06 2013 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Jul 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,S,E,E,E,,E,ACUB,Asphalt concrete over unbound base/subgrade
87,Ontario,1620,2,Tue Aug 04 1992 20:00:00 GMT-0400 (Eastern Daylight Time),51,Mill Off AC and Overlay with AC ,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Tue Aug 04 1992 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Jul 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
87,Ontario,1620,3,Mon Aug 31 1998 20:00:00 GMT-0400 (Eastern Daylight Time),55,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Tue Aug 04 1992 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Jul 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
87,Ontario,1620,4,Sun Sep 30 2012 20:00:00 GMT-0400 (Eastern Daylight Time),"11,55","AC Shoulder Replacement, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Tue Aug 04 1992 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Jul 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
87,Ontario,1622,2,Tue Jul 14 1998 20:00:00 GMT-0400 (Eastern Daylight Time),55,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,E,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,Tue Jul 14 1998 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Jul 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade
87,Ontario,1680,5,Fri Sep 09 2011 20:00:00 GMT-0400 (Eastern Daylight Time),"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,G,General Pavement Studies,6D,"Multiple AC Overlays with Conventional Asphalt Cement on AC Pavement, No Milling",Out-of-study,O,Fri Sep 09 2011 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Jul 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACTB,Asphalt concrete over cement/lime treated base/subgrade
87,Ontario,1806,5,Fri Sep 09 2011 20:00:00 GMT-0400 (Eastern Daylight Time),"10,19","AC Shoulder Restoration, Asphalt Concrete Overlay",E,G,General Pavement Studies,6D,"Multiple AC Overlays with Conventional Asphalt Cement on AC Pavement, No Milling",Out-of-study,O,Fri Sep 09 2011 20:00:00 GMT-0400 (Eastern Daylight Time),Sun Jul 31 2016 20:00:00 GMT-0400 (Eastern Daylight Time),,,E,E,E,E,E,ACUB,Asphalt concrete over unbound base/subgrade