STATE_CODE,STATE_CODE_EXP,SHRP_ID,EXPERIMENT_NO,EXPERIMENT_NO_EXP,GPS_SPS,GPS_SPS_EXP,REP_PERCENT_VEH_CLASS_4,REP_PERCENT_VEH_CLASS_5,REP_PERCENT_VEH_CLASS_6,REP_PERCENT_VEH_CLASS_7,REP_PERCENT_VEH_CLASS_8,REP_PERCENT_VEH_CLASS_9,REP_PERCENT_VEH_CLASS_10,REP_PERCENT_VEH_CLASS_11,REP_PERCENT_VEH_CLASS_12,REP_PERCENT_VEH_CLASS_13
4,Arizona,1001,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,0.8199999928474426,7.940000057220459,2.940000057220459,0.2199999988079071,5.179999828338623,72.3499984741211,0.75,7.429999828338623,2.2100000381469727,0.1599999964237213
4,Arizona,1002,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,0.949999988079071,9.399999618530273,1.090000033378601,0.3100000023841858,1.7300000190734863,79.62999725341797,0.33000001311302185,4.920000076293945,1.4600000381469727,0.18000000715255737
4,Arizona,1002,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,0.949999988079071,9.399999618530273,1.090000033378601,0.3100000023841858,1.7300000190734863,79.62999725341797,0.33000001311302185,4.920000076293945,1.4600000381469727,0.18000000715255737
4,Arizona,1003,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,1.0299999713897705,7.760000228881836,1.190000057220459,0.05999999865889549,3.4600000381469727,76.87000274658203,0.6700000166893005,6.130000114440918,2.740000009536743,0.09000000357627869
4,Arizona,1003,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,1,8,1,0,3,77,1,6,3,0
4,Arizona,1006,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,1.0199999809265137,7.409999847412109,1.409999966621399,0.03999999910593033,4,74.97000122070312,0.5899999737739563,7.869999885559082,2.569999933242798,0.11999999731779099
4,Arizona,1006,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,1,8,1,0,4,75,1,8,2,0
4,Arizona,1007,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,1.2599999904632568,13.420000076293945,2.2100000381469727,0.07999999821186066,3.0999999046325684,70.68000030517578,0.49000000953674316,6.579999923706055,2.009999990463257,0.17000000178813934
4,Arizona,1007,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,1.2599999904632568,13.420000076293945,2.2100000381469727,0.07999999821186066,3.0999999046325684,70.68000030517578,0.49000000953674316,6.579999923706055,2.009999990463257,0.17000000178813934
4,Arizona,1015,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,2,16,4,0,10,63,0,4,1,0
4,Arizona,1015,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,1.6799999475479126,15.670000076293945,3.690000057220459,0,9.829999923706055,63.66999816894531,0.3100000023841858,4.309999942779541,0.5299999713897705,0.3100000023841858
4,Arizona,1016,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,2.4000000953674316,13.850000381469727,3.759999990463257,0.11999999731779099,8.640000343322754,66.80999755859375,0.23000000417232513,3.609999895095825,0.3499999940395355,0.23000000417232513
4,Arizona,1016,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,2.4000000953674316,13.850000381469727,3.759999990463257,0.11999999731779099,8.640000343322754,66.80999755859375,0.23000000417232513,3.609999895095825,0.3499999940395355,0.23000000417232513
4,Arizona,1017,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,1,16,7,0,10,63,0,3,0,0
4,Arizona,1017,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,0.8399999737739563,15.989999771118164,6.650000095367432,0.23999999463558197,11.399999618530273,60.93000030517578,0.49000000953674316,2.6600000858306885,0.23000000417232513,0.5699999928474426
4,Arizona,1018,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,2.109999895095825,20.899999618530273,4.769999980926514,0.550000011920929,9.819999694824219,52.779998779296875,0.9399999976158142,3.680000066757202,0.6200000047683716,3.8299999237060547
4,Arizona,1018,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,2,20,5,1,9,54,1,3,1,4
4,Arizona,1021,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,1.5499999523162842,9.989999771118164,1.4500000476837158,0.20999999344348907,10.359999656677246,65.13999938964844,6.78000020980835,2.4100000858306885,1.0399999618530273,1.0700000524520874
4,Arizona,1021,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,2,10,1,0,10,66,7,2,1,1
4,Arizona,1022,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,1,9,1,0,4,79,0,4,2,0
4,Arizona,1022,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,1.059999942779541,8.699999809265137,0.6100000143051147,0,3.8499999046325684,79.30999755859375,0.33000001311302185,4.25,1.8200000524520874,0.07000000029802322
4,Arizona,1024,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,0.9800000190734863,7.849999904632568,0.6899999976158142,0.019999999552965164,2.059999942779541,81.18000030517578,0.3400000035762787,5.119999885559082,1.7000000476837158,0.05999999865889549
4,Arizona,1024,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,0.9800000190734863,7.849999904632568,0.6899999976158142,0.019999999552965164,2.059999942779541,81.18000030517578,0.3400000035762787,5.119999885559082,1.7000000476837158,0.05999999865889549
4,Arizona,1025,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,1,7,1,0,5,80,0,5,1,0
4,Arizona,1025,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,1.1100000143051147,6.869999885559082,0.9599999785423279,0.05000000074505806,5.590000152587891,78.33000183105469,0.3700000047683716,5.099999904632568,1.4900000095367432,0.12999999523162842
4,Arizona,1034,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,1.340000033378601,34.5,7.929999828338623,1.159999966621399,20.690000534057617,29.600000381469727,0.6100000143051147,2.2799999713897705,0.7200000286102295,1.1699999570846558
4,Arizona,1036,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,1.690000057220459,13.5,2.759999990463257,0,8.59000015258789,64.87999725341797,0.5600000023841858,6.329999923706055,1.6299999952316284,0.05999999865889549
4,Arizona,1037,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,9.729999542236328,29.670000076293945,6.409999847412109,1.0700000524520874,29.760000228881836,17.850000381469727,1.1299999952316284,1.149999976158142,0.2800000011920929,2.950000047683716
4,Arizona,1062,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,1,6,1,0,6,77,0,7,2,0
4,Arizona,1062,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,1.0399999618530273,6.320000171661377,0.8700000047683716,0.019999999552965164,5.860000133514404,76.9000015258789,0.36000001430511475,6.909999847412109,1.6200000047683716,0.10000000149011612
4,Arizona,1065,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,1,4,1,0,3,80,0,9,2,0
4,Arizona,6053,6A,Existing AC Overlay on AC Pavement ,G,General Pavement Studies,1.4199999570846558,13.5600004196167,1.4800000190734863,0.25999999046325684,10.520000457763672,65.48999786376953,0.36000001430511475,5.260000228881836,1.4199999570846558,0.23000000417232513
4,Arizona,6054,6A,Existing AC Overlay on AC Pavement ,G,General Pavement Studies,1.440000057220459,16.15999984741211,7.949999809265137,0.6000000238418579,14,54.95000076293945,0.5,2.5799999237060547,0.23999999463558197,1.5800000429153442
4,Arizona,6055,6A,Existing AC Overlay on AC Pavement ,G,General Pavement Studies,1.3799999952316284,16.799999237060547,2.1500000953674316,0.10999999940395355,5.550000190734863,65.25,0.49000000953674316,6.489999771118164,1.5299999713897705,0.25
4,Arizona,6055,6C,"AC Overlay with Modified Asphalt Cement on AC Pavement, No Milling",G,General Pavement Studies,1.3799999952316284,16.799999237060547,2.1500000953674316,0.10999999940395355,5.550000190734863,65.25,0.49000000953674316,6.489999771118164,1.5299999713897705,0.25
4,Arizona,6060,6A,Existing AC Overlay on AC Pavement ,G,General Pavement Studies,1.659999966621399,19.989999771118164,5.730000019073486,0.30000001192092896,5.239999771118164,62.09000015258789,0.7699999809265137,2.619999885559082,0.25,1.350000023841858
4,Arizona,6060,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,1.659999966621399,19.989999771118164,5.730000019073486,0.30000001192092896,5.239999771118164,62.09000015258789,0.7699999809265137,2.619999885559082,0.25,1.350000023841858
13,Georgia,1001,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,8.1899995803833,44.810001373291016,7.940000057220459,0.07999999821186066,10.90999984741211,27.139999389648438,0.3700000047683716,0.3100000023841858,0.10999999940395355,0.14000000059604645
13,Georgia,1004,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,6.25,27.43000030517578,6.639999866485596,0.20000000298023224,12.670000076293945,42.0099983215332,1.3300000429153442,0.1899999976158142,0,3.2799999713897705
13,Georgia,1005,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,7.349999904632568,53.90999984741211,4.889999866485596,0,11.760000228881836,21.43000030517578,0.5299999713897705,0,0,0.12999999523162842
13,Georgia,1031,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,4.829999923706055,53.18000030517578,11.380000114440918,0.5899999737739563,9.960000038146973,17.40999984741211,0.9800000190734863,0.23999999463558197,0.23000000417232513,1.2000000476837158
13,Georgia,4092,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,4.329999923706055,35.29999923706055,6.809999942779541,0.17000000178813934,11.350000381469727,38.720001220703125,1.409999966621399,0.9300000071525574,0.4699999988079071,0.5099999904632568
13,Georgia,4093,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,4.639999866485596,30.450000762939453,7.150000095367432,0.18000000715255737,12.100000381469727,41.970001220703125,1.5399999618530273,0.9900000095367432,0.5099999904632568,0.4699999988079071
13,Georgia,4096,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,2.859999895095825,10.119999885559082,5.03000020980835,21.43000030517578,13.65999984741211,40.029998779296875,2.950000047683716,0.07999999821186066,0.4399999976158142,3.4000000953674316
13,Georgia,4096,6C,"AC Overlay with Modified Asphalt Cement on AC Pavement, No Milling",G,General Pavement Studies,2.859999895095825,10.119999885559082,5.03000020980835,21.43000030517578,13.65999984741211,40.029998779296875,2.950000047683716,0.07999999821186066,0.4399999976158142,3.4000000953674316
13,Georgia,4111,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,15.25,29.200000762939453,12.550000190734863,6.079999923706055,16.170000076293945,15.079999923706055,1.7599999904632568,0.44999998807907104,0.4300000071525574,3.0299999713897705
13,Georgia,4112,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,5.119999885559082,13.25,2.9100000858306885,0.15000000596046448,17.399999618530273,56.43000030517578,0.7400000095367432,2.6600000858306885,0.9200000166893005,0.41999998688697815
13,Georgia,4112,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,5.119999885559082,13.25,2.9100000858306885,0.15000000596046448,17.399999618530273,56.43000030517578,0.7400000095367432,2.6600000858306885,0.9200000166893005,0.41999998688697815
13,Georgia,4113,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,5.840000152587891,16.450000762939453,3.819999933242798,0.5400000214576721,14.630000114440918,53.16999816894531,1.0299999713897705,2.430000066757202,0.8700000047683716,1.2200000286102295
13,Georgia,4113,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,5.840000152587891,16.450000762939453,3.819999933242798,0.5400000214576721,14.630000114440918,53.16999816894531,1.0299999713897705,2.430000066757202,0.8700000047683716,1.2200000286102295
13,Georgia,4119,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,9.649999618530273,14.3100004196167,5.940000057220459,1.6699999570846558,13.9399995803833,46.61000061035156,1.0099999904632568,3.7100000381469727,0.7099999785423279,2.450000047683716
13,Georgia,4420,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,6.539999961853027,24.850000381469727,12.3100004196167,1.1200000047683716,7.980000019073486,39.86000061035156,3.0899999141693115,0.3499999940395355,0.10000000149011612,3.799999952316284
13,Georgia,4420,6B,"AC Overlay with Conventional Asphalt Cement on AC Pavement, No Milling",G,General Pavement Studies,6.539999961853027,24.850000381469727,12.3100004196167,1.1200000047683716,7.980000019073486,39.86000061035156,3.0899999141693115,0.3499999940395355,0.10000000149011612,3.799999952316284
39,Ohio,0104,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",S,Specific Pavement Studies,3.680000066757202,9.470000267028809,3.440000057220459,1.7799999713897705,6.590000152587891,70.47000122070312,1.309999942779541,1.8600000143051147,0.41999998688697815,0.9800000190734863
39,Ohio,0104,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,3,9,4,3,6,70,1,2,1,1
39,Ohio,0111,6C,"AC Overlay with Modified Asphalt Cement on AC Pavement, No Milling",G,General Pavement Studies,3,11,3,3,6,70,1,2,0,1
39,Ohio,0111,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",S,Specific Pavement Studies,3.680000066757202,9.470000267028809,3.440000057220459,1.7799999713897705,6.590000152587891,70.47000122070312,1.309999942779541,1.8600000143051147,0.41999998688697815,0.9800000190734863
39,Ohio,0112,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",S,Specific Pavement Studies,3.680000066757202,9.470000267028809,3.440000057220459,1.7799999713897705,6.590000152587891,70.47000122070312,1.309999942779541,1.8600000143051147,0.41999998688697815,0.9800000190734863
39,Ohio,0112,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,3,9,4,3,6,70,1,2,1,1
39,Ohio,0159,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,3,10,4,3,6,71,1,2,0,0
39,Ohio,0159,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",S,Specific Pavement Studies,3.680000066757202,9.470000267028809,3.440000057220459,1.7799999713897705,6.590000152587891,70.47000122070312,1.309999942779541,1.8600000143051147,0.41999998688697815,0.9800000190734863
39,Ohio,0160,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",S,Specific Pavement Studies,3.680000066757202,9.470000267028809,3.440000057220459,1.7799999713897705,6.590000152587891,70.47000122070312,1.309999942779541,1.8600000143051147,0.41999998688697815,0.9800000190734863
39,Ohio,0160,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,3,10,4,3,6,71,1,2,0,0
39,Ohio,0901,9N,"Superpave Asphalt Binder Study, New AC Pavement Construction)",S,Specific Pavement Studies,3.680000066757202,9.470000267028809,3.440000057220459,1.7799999713897705,6.590000152587891,70.47000122070312,1.309999942779541,1.8600000143051147,0.41999998688697815,0.9800000190734863
39,Ohio,0901,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,3,9,4,3,6,70,1,2,1,1
39,Ohio,0903,9N,"Superpave Asphalt Binder Study, New AC Pavement Construction)",S,Specific Pavement Studies,3.680000066757202,9.470000267028809,3.440000057220459,1.7799999713897705,6.590000152587891,70.47000122070312,1.309999942779541,1.8600000143051147,0.41999998688697815,0.9800000190734863
39,Ohio,0903,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,3,9,4,3,6,70,1,2,1,1
87,Ontario,0903,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,3,47,21,3,7,4,5,3,4,3
87,Ontario,0903,9N,"Superpave Asphalt Binder Study, New AC Pavement Construction)",S,Specific Pavement Studies,2.619999885559082,46.33000183105469,21.030000686645508,3.140000104904175,7.159999847412109,4.099999904632568,4.710000038146973,3.2300000190734863,4.190000057220459,3.490000009536743
87,Ontario,0960,9N,"Superpave Asphalt Binder Study, New AC Pavement Construction)",S,Specific Pavement Studies,2.619999885559082,46.33000183105469,21.030000686645508,3.140000104904175,7.159999847412109,4.099999904632568,4.710000038146973,3.2300000190734863,4.190000057220459,3.490000009536743
87,Ontario,0960,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,3,46,21,3,7,4,5,3,4,4
87,Ontario,0961,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,3,47,21,3,7,4,5,3,4,3
87,Ontario,0961,9N,"Superpave Asphalt Binder Study, New AC Pavement Construction)",S,Specific Pavement Studies,2.619999885559082,46.33000183105469,21.030000686645508,3.140000104904175,7.159999847412109,4.099999904632568,4.710000038146973,3.2300000190734863,4.190000057220459,3.490000009536743
87,Ontario,1620,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,3,19,4,0,10,33,5,4,4,18
87,Ontario,1620,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,3.309999942779541,18.799999237060547,4.150000095367432,0.3199999928474426,10.739999771118164,30.780000686645508,4.880000114440918,4.300000190734863,4.170000076293945,18.549999237060547
87,Ontario,1622,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,2.369999885559082,23.15999984741211,6.349999904632568,0.8399999737739563,3.3499999046325684,33.150001525878906,7.070000171661377,0.5799999833106995,6.25,16.8799991607666
87,Ontario,1622,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,2,23,6,1,3,34,7,1,6,17
87,Ontario,1680,6D,"Multiple AC Overlays with Conventional Asphalt Cement on AC Pavement, No Milling",G,General Pavement Studies,8,55,12,1,1,18,1,0,2,2
87,Ontario,1680,2,Asphalt Concrete on Bound Base,G,General Pavement Studies,8.1899995803833,55.59000015258789,12.079999923706055,0.699999988079071,0.6899999976158142,17.8700008392334,0.9200000166893005,0.41999998688697815,1.6299999952316284,1.909999966621399
87,Ontario,1680,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,8.1899995803833,55.59000015258789,12.079999923706055,0.699999988079071,0.6899999976158142,17.8700008392334,0.9200000166893005,0.41999998688697815,1.6299999952316284,1.909999966621399
87,Ontario,1806,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,G,General Pavement Studies,8.1899995803833,55.59000015258789,12.079999923706055,0.699999988079071,0.6899999976158142,17.8700008392334,0.9200000166893005,0.41999998688697815,1.6299999952316284,1.909999966621399
87,Ontario,1806,6D,"Multiple AC Overlays with Conventional Asphalt Cement on AC Pavement, No Milling",G,General Pavement Studies,8,55,12,1,1,18,1,0,2,2
87,Ontario,1806,1,Asphalt Concrete on Unbound Granular Base,G,General Pavement Studies,8.1899995803833,55.59000015258789,12.079999923706055,0.699999988079071,0.6899999976158142,17.8700008392334,0.9200000166893005,0.41999998688697815,1.6299999952316284,1.909999966621399