column,group,null_pct_full_df,dtype,in_iri_dataset,in_rutting_dataset,in_distress_dataset,is_model_feature,imputed
STATE_CODE,IDENTIFIER_TEMPORAL,0.0,int64,True,True,True,False,False
SHRP_ID,IDENTIFIER_TEMPORAL,0.0,int64,True,True,True,False,False
CONSTRUCTION_NO,IDENTIFIER_TEMPORAL,1.3,float64,True,True,True,False,False
IRI_IRI_LEFT_WHEEL_PATH,TARGET_IRI,26.5,float64,True,True,True,False,False
IRI_IRI_RIGHT_WHEEL_PATH,TARGET_IRI,26.5,float64,True,True,True,False,False
IRI_IRI_CENTER_LANE,TARGET_IRI,26.5,float64,True,True,True,False,False
IRI_MRI,TARGET_IRI,26.5,float64,True,True,True,False,False
OBSERVATION_YEAR,IDENTIFIER_TEMPORAL,1.3,float64,True,True,True,False,False
RUT_LLH_DEPTH_1_8_MEAN,TARGET_RUTTING,87.1,float64,True,True,True,False,False
RUT_RLH_DEPTH_1_8_MEAN,TARGET_RUTTING,87.1,float64,True,True,True,False,False
RUT_MAX_MEAN_DEPTH_1_8,TARGET_RUTTING,87.1,float64,True,True,True,False,False
RUT_LLH_DEPTH_WIRE_REF_MEAN,TARGET_RUTTING,87.1,float64,True,True,True,False,False
RUT_RLH_DEPTH_WIRE_REF_MEAN,TARGET_RUTTING,87.1,float64,True,True,True,False,False
RUT_MAX_MEAN_DEPTH_WIRE_REF,TARGET_RUTTING,87.1,float64,True,True,True,False,False
DIS_HPMS16_CRACKING_PERCENT_AC,TARGET_DISTRESS,91.4,float64,True,True,True,False,False
DIS_MEPDG_CRACKING_PERCENT_AC,TARGET_DISTRESS,91.4,float64,True,True,True,False,False
DIS_MEPDG_TRANS_CRACK_LENGTH_AC,TARGET_DISTRESS,91.5,float64,True,True,True,False,False
DIS_MEPDG_LONG_CRACK_LENGTH_AC,TARGET_DISTRESS,91.5,float64,True,True,True,False,False
SHRP_LTPP_DIR,SHRP_SITE_INFO,0.0,int64,True,True,True,True,False
SHRP_LANES_LTPP_DIR,SHRP_SITE_INFO,0.0,int64,True,True,True,True,False
SHRP_FUNC_CLASS,SHRP_SITE_INFO,0.0,int64,True,True,True,True,False
LAYER_COUNT_TOTAL,LAYER_STRUCTURE,1.3,float64,True,True,True,True,False
LAYER_COUNT_AC,LAYER_STRUCTURE,1.3,float64,True,True,True,True,False
LAYER_COUNT_UNBOUND,LAYER_STRUCTURE,1.3,float64,True,True,True,True,True
LAYER_THICKNESS_AC_MM,LAYER_STRUCTURE,1.3,float64,True,True,True,True,False
LAYER_THICKNESS_UB_MM,LAYER_STRUCTURE,1.3,float64,True,True,True,True,True
LAYER_THICKNESS_TOTAL_MM,LAYER_STRUCTURE,1.3,float64,True,True,True,True,True
LAYER_SURFACE_MATL_CODE,LAYER_STRUCTURE,1.3,float64,True,True,True,True,False
L05B_REPR_THICKNESS,LAYER_STRUCTURE,1.3,float64,True,True,True,True,False
L05B_INV_LAYER_NO,LAYER_STRUCTURE,27.5,float64,True,True,True,True,False
AC_REPR_THICKNESS,AC_MATERIAL,1.3,float64,True,True,True,True,False
AC_IDT_AVERAGE,AC_MATERIAL,1.3,float64,True,True,True,True,True
AC_IDT_POISSON_USED,AC_MATERIAL,1.3,float64,True,True,True,True,True
AC_AIR_VOIDS_AVG_WP,AC_MATERIAL,1.3,float64,True,True,True,True,True
AC_AIR_VOIDS_AVG_NWP,AC_MATERIAL,1.3,float64,True,True,True,True,True
AC_ONE_PASSING,AC_MATERIAL,3.3,float64,True,True,True,True,False
AC_THREE_FOURTHS_PASSING,AC_MATERIAL,3.3,float64,True,True,True,True,False
AC_ONE_HALF_PASSING,AC_MATERIAL,3.3,float64,True,True,True,True,False
AC_THREE_EIGHTHS_PASSING,AC_MATERIAL,3.3,float64,True,True,True,True,False
AC_NO_4_PASSING,AC_MATERIAL,3.3,float64,True,True,True,True,False
AC_NO_10_PASSING,AC_MATERIAL,15.8,float64,True,True,True,True,False
AC_NO_40_PASSING,AC_MATERIAL,15.8,float64,True,True,True,True,False
AC_NO_80_PASSING,AC_MATERIAL,15.8,float64,True,True,True,True,False
AC_NO_200_PASSING,AC_MATERIAL,3.3,float64,True,True,True,True,False
AC_ASPHALT_CONTENT_MEAN,AC_MATERIAL,1.3,float64,True,True,True,True,True
AC_MAX_SPEC_GRAVITY,AC_MATERIAL,1.3,float64,True,True,True,True,True
AC_BSG,AC_MATERIAL,1.3,float64,True,True,True,True,True
AC_THERMAL_CONDUCTIVITY,AC_MATERIAL,1.3,float64,True,True,True,True,False
AC_VOIDS_MINERAL_AGGR,AC_MATERIAL,1.3,float64,True,True,True,True,True
AC_VOIDS_FILLED_ASPHALT,AC_MATERIAL,1.3,float64,True,True,True,True,True
UB_REPR_THICKNESS,UNBOUND_MATERIAL,35.3,float64,True,True,True,True,False
UB_THREE_PASSING,UNBOUND_MATERIAL,35.3,float64,True,True,True,True,False
UB_TWO_PASSING,UNBOUND_MATERIAL,35.3,float64,True,True,True,True,False
UB_ONE_AND_HALF_PASSING,UNBOUND_MATERIAL,35.3,float64,True,True,True,True,False
UB_ONE_PASSING,UNBOUND_MATERIAL,35.3,float64,True,True,True,True,False
UB_THREE_FOURTHS_PASSING,UNBOUND_MATERIAL,35.3,float64,True,True,True,True,False
UB_ONE_HALF_PASSING,UNBOUND_MATERIAL,35.3,float64,True,True,True,True,False
UB_THREE_EIGHTHS_PASSING,UNBOUND_MATERIAL,35.3,float64,True,True,True,True,False
UB_NO_4_PASSING,UNBOUND_MATERIAL,35.3,float64,True,True,True,True,False
UB_NO_10_PASSING,UNBOUND_MATERIAL,35.3,float64,True,True,True,True,False
UB_NO_40_PASSING,UNBOUND_MATERIAL,35.3,float64,True,True,True,True,False
UB_NO_80_PASSING,UNBOUND_MATERIAL,35.3,float64,True,True,True,True,False
UB_NO_200_PASSING,UNBOUND_MATERIAL,35.3,float64,True,True,True,True,False
UB_LIQUID_LIMIT,UNBOUND_MATERIAL,1.3,float64,True,True,True,True,True
UB_PLASTIC_LIMIT,UNBOUND_MATERIAL,1.3,float64,True,True,True,True,True
UB_PLASTICITY_INDEX,UNBOUND_MATERIAL,11.5,float64,True,True,True,True,True
UB_SPEC_GRAVITY,UNBOUND_MATERIAL,1.3,float64,True,True,True,True,True
UB_MAX_LAB_DRY_DENSITY,UNBOUND_MATERIAL,1.3,float64,True,True,True,True,True
UB_OPTIMUM_LAB_MOISTURE,UNBOUND_MATERIAL,1.3,float64,True,True,True,True,True
UB_RESILIENT_MODULUS,UNBOUND_MATERIAL,1.3,float64,True,True,True,True,True
UB_RESILIENT_MODULUS_K1,UNBOUND_MATERIAL,1.3,float64,True,True,True,True,True
UB_RESILIENT_MODULUS_K2,UNBOUND_MATERIAL,1.3,float64,True,True,True,True,True
UB_RESILIENT_MODULUS_K3,UNBOUND_MATERIAL,1.3,float64,True,True,True,True,True
UB_HYDRAULIC_CONDUCTIVITY,UNBOUND_MATERIAL,35.3,float64,True,True,True,True,False
AC_SUP_LAYER_NO,AC_SUPPORT_STATS,1.3,float64,True,True,True,True,False
AC_SUP_AIR_VOIDS_AVG_WP,AC_SUPPORT_STATS,3.3,float64,True,True,True,True,False
AC_SUP_ASPHALT_CONTENT_MEAN,AC_SUPPORT_STATS,3.3,float64,True,True,True,True,False
AC_SUP_BSG,AC_SUPPORT_STATS,3.3,float64,True,True,True,True,False
AC_SUP_IDT_AVERAGE,AC_SUPPORT_STATS,37.6,float64,True,True,True,True,False
AC_SUP_IDT_POISSON_USED,AC_SUPPORT_STATS,1.3,float64,True,True,True,True,False
AC_SUP_MAX_SPEC_GRAVITY,AC_SUPPORT_STATS,3.3,float64,True,True,True,True,False
AC_SUP_NO_10_PASSING,AC_SUPPORT_STATS,15.8,float64,True,True,True,True,False
AC_SUP_NO_200_PASSING,AC_SUPPORT_STATS,3.3,float64,True,True,True,True,False
AC_SUP_NO_40_PASSING,AC_SUPPORT_STATS,15.8,float64,True,True,True,True,False
AC_SUP_NO_4_PASSING,AC_SUPPORT_STATS,3.3,float64,True,True,True,True,False
AC_SUP_NO_80_PASSING,AC_SUPPORT_STATS,15.8,float64,True,True,True,True,False
AC_SUP_ONE_HALF_PASSING,AC_SUPPORT_STATS,3.3,float64,True,True,True,True,False
AC_SUP_ONE_PASSING,AC_SUPPORT_STATS,3.3,float64,True,True,True,True,False
AC_SUP_REPR_THICKNESS,AC_SUPPORT_STATS,1.3,float64,True,True,True,True,False
AC_SUP_THREE_EIGHTHS_PASSING,AC_SUPPORT_STATS,3.3,float64,True,True,True,True,False
AC_SUP_THREE_FOURTHS_PASSING,AC_SUPPORT_STATS,3.3,float64,True,True,True,True,False
AC_SUP_VOIDS_FILLED_ASPHALT,AC_SUPPORT_STATS,11.5,float64,True,True,True,True,False
AC_SUP_VOIDS_MINERAL_AGGR,AC_SUPPORT_STATS,11.5,float64,True,True,True,True,False
UB_SUP_LAYER_NO,UB_SUPPORT_STATS,22.2,float64,True,True,True,True,False
UB_SUP_LIQUID_LIMIT,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_MAX_LAB_DRY_DENSITY,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_NO_10_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_NO_200_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_NO_40_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_NO_4_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_NO_80_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_ONE_AND_HALF_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_ONE_HALF_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_ONE_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_OPTIMUM_LAB_MOISTURE,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_PLASTIC_LIMIT,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_REPR_THICKNESS,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_RESILIENT_MODULUS,UB_SUPPORT_STATS,35.5,float64,True,True,True,True,False
UB_SUP_RESILIENT_MODULUS_K2,UB_SUPPORT_STATS,35.5,float64,True,True,True,True,False
UB_SUP_RESILIENT_MODULUS_K3,UB_SUPPORT_STATS,35.5,float64,True,True,True,True,False
UB_SUP_SPEC_GRAVITY,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_THREE_EIGHTHS_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_THREE_FOURTHS_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
UB_SUP_TWO_PASSING,UB_SUPPORT_STATS,35.3,float64,True,True,True,True,False
CLIM_ELEVATION,CLIMATE,0.0,int64,True,True,True,True,False
CLIM_LATITUDE,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_LONGITUDE,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_DEGREE_DAYS_OVER_10C_YR,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_COLDEST_AIR_TEMP,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_HIGH_TEMP_7DAYS,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_MAX_AVG_TEMP_HIGH_7DAYS,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_MAX_TEMP_HIGH_7DAYS,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_MIN_SURFACE_50_TEMP,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_MIN_SURFACE_98_TEMP,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_STDDEV_HIGH_TEMP_7DAYS,CLIMATE,0.0,float64,True,True,True,True,False
CLIM_STDDEV_COLDEST_AIR_TEMP,CLIMATE,0.0,float64,True,True,True,True,False
TRF_REP_REP_ESAL_SINGLE_AXLE,TRAFFIC,1.5,float64,True,True,True,True,False
TRF_REP_REP_ESAL_TANDEM_AXLE,TRAFFIC,1.5,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_4,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_5,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_6,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_7,TRAFFIC,10.9,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_8,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_9,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_10,TRAFFIC,2.9,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_11,TRAFFIC,2.5,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_12,TRAFFIC,3.2,float64,True,True,True,True,False
TRF_REP_REP_ESAL_PER_VEH_CLASS_13,TRAFFIC,2.9,float64,True,True,True,True,False
TRF_REP_REP_GESAL_SINGLE_AXLE,TRAFFIC,1.5,float64,True,True,True,True,False
TRF_REP_REP_GESAL_TANDEM_AXLE,TRAFFIC,1.5,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_4,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_5,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_6,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_7,TRAFFIC,10.9,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_8,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_9,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_10,TRAFFIC,2.9,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_11,TRAFFIC,2.5,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_12,TRAFFIC,3.2,float64,True,True,True,True,False
TRF_REP_REP_GESAL_PER_VEH_CLASS_13,TRAFFIC,2.9,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_4,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_5,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_6,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_7,TRAFFIC,10.9,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_8,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_9,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_10,TRAFFIC,2.9,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_11,TRAFFIC,2.5,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_12,TRAFFIC,3.2,float64,True,True,True,True,False
TRF_REP_REP_GVW_VEH_CLASS_13,TRAFFIC,2.9,float64,True,True,True,True,False
TRF_REP_REP_LOAD_USE_RATING,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP1_REP_AADTT,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_4,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_5,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_6,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_7,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_8,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_9,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_10,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_11,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_12,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_REP2_REP_PERCENT_VEH_CLASS_13,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_APT_SINGLE_AXLES,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_APT_TANDEM_AXLES,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_APT_TRIDEM_AXLES,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_APT_QUAD_AXLES,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_TVP_VEH_CLASS_DIST_PERCENT,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_TVP_VEH_CLASS_GROWTH_RATE,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_TVP_AADTT_FIRST_YEAR_LTPP_LANE,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_TOTAL,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG01,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG02,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG03,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG04,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG05,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG06,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG07,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG08,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG09,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG10,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG11,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG12,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG13,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG14,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG15,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG16,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG17,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG18,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG19,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG20,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG21,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG22,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG23,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG24,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG25,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG26,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG27,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG28,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG29,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG30,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG31,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG32,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG33,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG34,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG35,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG36,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG37,TRAFFIC,0.0,float64,True,True,True,True,False
TRF_ALDF_MEPDG_LG38,TRAFFIC,0.0,float64,True,True,True,True,False
CLIM_TEMP_AVG,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_MEAN_AVG,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_INDEX,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_THAW,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_PRECIPITATION,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_EVAPORATION,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_PRECIP_DAYS,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_REL_HUM_AVG_AVG,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_CLOUD_COVER_AVG,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_SHORTWAVE_SURFACE_AVG,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_WIND_VELOCITY_AVG,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_INDEX_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_INDEX_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_INDEX_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_THAW_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_THAW_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_FREEZE_THAW_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_AVG_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_AVG_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_AVG_SUMMER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_AVG_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_MEAN_AVG_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_MEAN_AVG_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_MEAN_AVG_SUMMER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_TEMP_MEAN_AVG_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_REL_HUM_AVG_AVG_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_REL_HUM_AVG_AVG_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_REL_HUM_AVG_AVG_SUMMER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_REL_HUM_AVG_AVG_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_CLOUD_COVER_AVG_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_CLOUD_COVER_AVG_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_CLOUD_COVER_AVG_SUMMER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_CLOUD_COVER_AVG_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_SHORTWAVE_SURFACE_AVG_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_SHORTWAVE_SURFACE_AVG_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_SHORTWAVE_SURFACE_AVG_SUMMER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_SHORTWAVE_SURFACE_AVG_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_WIND_VELOCITY_AVG_FALL,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_WIND_VELOCITY_AVG_SPRING,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_WIND_VELOCITY_AVG_SUMMER,CLIMATE,1.3,float64,True,True,True,True,False
CLIM_WIND_VELOCITY_AVG_WINTER,CLIMATE,1.3,float64,True,True,True,True,False
TRF_AADTT_ALL_TRUCKS_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_ANNUAL_TRUCK_VOLUME_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_4_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_5_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_6_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_7_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_8_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_9_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_10_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_11_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_12_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_AADTT_VEH_CLASS_13_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
TRF_CMLTV_VOL_VEH_CLASS_9_TREND,TRAFFIC,1.6,float64,True,True,True,True,False
PAVEMENT_AGE,IDENTIFIER_TEMPORAL,1.6,float64,True,True,True,False,False
EFFECTIVE_AGE,IDENTIFIER_TEMPORAL,1.4,float64,True,True,True,False,False
PF_ACATB,PAVEMENT_FAMILY_ENCODED,0.0,int64,True,True,True,True,False
PF_ACTB,PAVEMENT_FAMILY_ENCODED,0.0,int64,True,True,True,True,False
PF_ACUB,PAVEMENT_FAMILY_ENCODED,0.0,int64,True,True,True,True,False
REGION,IDENTIFIER_TEMPORAL,0.0,str,True,True,True,False,False
REGION_Arizona,REGION_ENCODED,0.0,int64,True,True,True,True,False
REGION_Georgia,REGION_ENCODED,0.0,int64,True,True,True,True,False
REGION_Ohio,REGION_ENCODED,0.0,int64,True,True,True,True,False
REGION_Ontario,REGION_ENCODED,0.0,int64,True,True,True,True,False
SPLIT,IDENTIFIER_TEMPORAL,0.0,str,True,True,True,False,False
UB_RESILIENT_MODULUS_MEASURED,UNBOUND_MATERIAL,0.0,int64,True,True,True,True,False
UB_PLASTICITY_INDEX_MEASURED,UNBOUND_MATERIAL,0.0,int64,True,True,True,True,False
